"No.","Time","Delta-time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"48","1.483846","0.007819","192.168.1.1","192.168.68.121","DNS","147","Standard query response 0xaafb No such name PTR 3.61.159.162.in-addr.arpa SOA cruz.ns.cloudflare.com","53","62055"
"49","1.484817","0.000971","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"50","1.485882","0.001065","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"51","1.486955","0.001073","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"52","1.487456","0.000501","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"53","1.499396","0.011940","172.165.69.228","192.168.68.121","TLSv1.2","344","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message","443","51282"
"54","1.499396","0.000000","172.165.69.228","192.168.68.121","TLSv1.2","123","Application Data","443","51282"
"55","1.499396","0.000000","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=1 Ack=1401 Win=69632 Len=0","443","51283"
"56","1.499396","0.000000","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=1 Ack=1736 Win=73728 Len=0","443","51283"
"57","1.499594","0.000198","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=305 Ack=8434 Win=262144 Len=0","51282","443"
"58","1.502085","0.002491","192.168.68.121","172.165.69.228","TLSv1.2","141","Application Data","51282","443"
"59","1.502229","0.000144","192.168.68.121","172.165.69.228","TLSv1.2","92","Application Data","51282","443"
"60","1.505063","0.002834","192.168.68.121","172.165.69.228","TLSv1.2","320","Application Data","51282","443"
"61","1.505367","0.000304","192.168.68.121","172.165.69.228","TCP","1454","51282  >  443 [ACK] Seq=696 Ack=8434 Win=262144 Len=1400 [TCP PDU reassembled in 62]","51282","443"
"62","1.505367","0.000000","192.168.68.121","172.165.69.228","TLSv1.2","163","Application Data","51282","443"
"63","1.505524","0.000157","192.168.68.121","172.165.69.228","TLSv1.2","92","Application Data","51282","443"
"64","1.510691","0.005167","162.159.61.3","192.168.68.121","TCP","60","443  >  51284 [ACK] Seq=1 Ack=1401 Win=69632 Len=0","443","51284"
"65","1.510691","0.000000","162.159.61.3","192.168.68.121","TCP","60","443  >  51284 [ACK] Seq=1 Ack=1736 Win=73728 Len=0","443","51284"
"66","1.530217","0.019526","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8434 Ack=392 Win=69632 Len=0","443","51282"
"67","1.530217","0.000000","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8434 Ack=430 Win=69632 Len=0","443","51282"
"68","1.530217","0.000000","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8434 Ack=696 Win=69632 Len=0","443","51282"
"69","1.530217","0.000000","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8434 Ack=2096 Win=73728 Len=0","443","51282"
"70","1.530680","0.000463","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8434 Ack=2205 Win=73728 Len=0","443","51282"
"71","1.530680","0.000000","172.165.69.228","192.168.68.121","TCP","60","443  >  51282 [ACK] Seq=8434 Ack=2243 Win=73728 Len=0","443","51282"
"72","1.539247","0.008567","fe80::dc4b:6313:da4f:dd3","ff02::1:3","LLMNR","105","Standard query 0xf9b5 PTR 1.68.168.192.in-addr.arpa","59773","5355"
"73","1.539418","0.000171","192.168.68.121","224.0.0.252","LLMNR","85","Standard query 0xf9b5 PTR 1.68.168.192.in-addr.arpa","59773","5355"
"74","1.589540","0.050122","192.168.68.121","192.168.1.1","DNS","85","Standard query 0x737c PTR 3.61.159.162.in-addr.arpa","56372","53"
"75","1.592948","0.003408","172.165.69.228","192.168.68.121","TLSv1.2","92","Application Data","443","51282"
"76","1.592994","0.000046","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=2243 Ack=8472 Win=261888 Len=0","51282","443"
"77","1.602238","0.009244","172.165.69.228","192.168.68.121","TLSv1.2","96","Application Data","443","51282"
"78","1.602291","0.000053","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=2243 Ack=8514 Win=261888 Len=0","51282","443"
"79","1.608255","0.005964","192.168.1.1","192.168.68.121","DNS","147","Standard query response 0x737c No such name PTR 3.61.159.162.in-addr.arpa SOA cruz.ns.cloudflare.com","53","56372"
"80","1.608757","0.000502","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"81","1.609023","0.000266","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"82","1.662886","0.053863","172.165.69.228","192.168.68.121","TLSv1.2","425","Application Data","443","51282"
"83","1.662952","0.000066","192.168.68.121","172.165.69.228","TCP","54","51282  >  443 [ACK] Seq=2243 Ack=8885 Win=261632 Len=0","51282","443"
"84","1.756904","0.093952","192.168.68.121","162.159.61.3","QUIC","1292","Initial, DCID=0a15e7ff9364b216, PKN: 4, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING","54944","443"
"85","1.889774","0.132870","162.159.61.3","192.168.68.121","TLSv1.3","1454","Server Hello, Change Cipher Spec","443","51283"
"86","1.889774","0.000000","162.159.61.3","192.168.68.121","TCP","1454","443  >  51283 [PSH, ACK] Seq=1401 Ack=1736 Win=73728 Len=1400 [TCP PDU reassembled in 87]","443","51283"
"87","1.889774","0.000000","162.159.61.3","192.168.68.121","TLSv1.3","1028","Encrypted Extensions, Compressed Certificate, Certificate Verify, Finished","443","51283"
"88","1.889851","0.000077","192.168.68.121","162.159.61.3","TCP","54","51283  >  443 [ACK] Seq=1736 Ack=3775 Win=131584 Len=0","51283","443"
"89","1.894672","0.004821","162.159.61.3","192.168.68.121","TLSv1.3","1454","Server Hello, Change Cipher Spec","443","51284"
"90","1.894672","0.000000","162.159.61.3","192.168.68.121","TCP","1454","443  >  51284 [PSH, ACK] Seq=1401 Ack=1736 Win=73728 Len=1400 [TCP PDU reassembled in 91]","443","51284"
"91","1.894672","0.000000","162.159.61.3","192.168.68.121","TLSv1.3","1027","Encrypted Extensions, Compressed Certificate, Certificate Verify, Finished","443","51284"
"92","1.894730","0.000058","192.168.68.121","162.159.61.3","TCP","54","51284  >  443 [ACK] Seq=1736 Ack=3774 Win=131584 Len=0","51284","443"
"93","1.895066","0.000336","192.168.68.121","162.159.61.3","TLSv1.3","118","Change Cipher Spec, Finished","51283","443"
"94","1.895705","0.000639","192.168.68.121","162.159.61.3","TLSv1.3","118","Change Cipher Spec, Finished","51284","443"
"95","1.895884","0.000179","192.168.68.121","162.159.61.3","TCP","54","51284  >  443 [FIN, ACK] Seq=1800 Ack=3774 Win=131584 Len=0","51284","443"
"96","1.895994","0.000110","192.168.68.121","162.159.61.3","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]","51283","443"
"97","1.896260","0.000266","192.168.68.121","162.159.61.3","HTTP2","194","HEADERS[1]: POST /dns-query","51283","443"
"98","1.896321","0.000061","192.168.68.121","162.159.61.3","HTTP2","110","HEADERS[3]: POST /dns-query","51283","443"
"99","1.896356","0.000035","192.168.68.121","162.159.61.3","DoH","213","Standard query 0x0000 A clientservices.googleapis.com OPT","51283","443"
"100","1.896417","0.000061","192.168.68.121","162.159.61.3","DoH","213","Standard query 0x0000 HTTPS clientservices.googleapis.com OPT","51283","443"
"101","1.914252","0.017835","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=3775 Ack=1800 Win=73728 Len=0","443","51283"
"102","1.914252","0.000000","162.159.61.3","192.168.68.121","TCP","54","443  >  51284 [ACK] Seq=3774 Ack=1800 Win=73728 Len=0","443","51284"
"103","1.914252","0.000000","162.159.61.3","192.168.68.121","TCP","54","443  >  51284 [FIN, ACK] Seq=3774 Ack=1801 Win=73728 Len=0","443","51284"
"104","1.914313","0.000061","192.168.68.121","162.159.61.3","TCP","54","51284  >  443 [ACK] Seq=1801 Ack=3775 Win=131584 Len=0","51284","443"
"105","1.917028","0.002715","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=3775 Ack=1892 Win=73728 Len=0","443","51283"
"106","1.917028","0.000000","162.159.61.3","192.168.68.121","HTTP2","582","SETTINGS[0], WINDOW_UPDATE[0]","443","51283"
"107","1.917028","0.000000","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=4303 Ack=2032 Win=77824 Len=0","443","51283"
"108","1.917028","0.000000","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=4303 Ack=2088 Win=77824 Len=0","443","51283"
"109","1.917359","0.000331","192.168.68.121","162.159.61.3","HTTP2","85","SETTINGS[0]","51283","443"
"110","1.917415","0.000056","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=4303 Ack=2247 Win=77824 Len=0","443","51283"
"111","1.917415","0.000000","162.159.61.3","192.168.68.121","HTTP2","85","SETTINGS[0]","443","51283"
"112","1.917415","0.000000","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=4334 Ack=2406 Win=81920 Len=0","443","51283"
"113","1.919982","0.002567","162.159.61.3","192.168.68.121","HTTP2","89","WINDOW_UPDATE[3]","443","51283"
"114","1.920024","0.000042","192.168.68.121","162.159.61.3","TCP","54","51283  >  443 [ACK] Seq=2437 Ack=4369 Win=130816 Len=0","51283","443"
"115","1.923790","0.003766","162.159.61.3","192.168.68.121","DoH","694","Standard query response 0x0000 A clientservices.googleapis.com A 142.250.75.131 OPT","443","51283"
"116","1.923790","0.000000","162.159.61.3","192.168.68.121","DoH","609","Standard query response 0x0000 HTTPS clientservices.googleapis.com SOA ns1.google.com OPT","443","51283"
"117","1.923834","0.000044","192.168.68.121","162.159.61.3","TCP","54","51283  >  443 [ACK] Seq=2437 Ack=5564 Win=131584 Len=0","51283","443"
"118","1.924759","0.000925","192.168.68.121","142.250.75.131","TCP","66","51285  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","51285","443"
"119","1.934352","0.009593","162.159.61.3","192.168.68.121","TCP","60","443  >  51283 [ACK] Seq=5564 Ack=2437 Win=81920 Len=0","443","51283"
"120","1.944891","0.010539","142.250.75.131","192.168.68.121","TCP","66","443  >  51285 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=4096","443","51285"
"121","1.944967","0.000076","192.168.68.121","142.250.75.131","TCP","54","51285  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","51285","443"
"122","1.945431","0.000464","192.168.68.121","142.250.75.131","TCP","1454","51285  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 [TCP PDU reassembled in 123]","51285","443"
"123","1.945431","0.000000","192.168.68.121","142.250.75.131","TLSv1.3","425","Client Hello (SNI=clientservices.googleapis.com)","51285","443"
"124","1.965751","0.020320","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=1 Ack=1401 Win=69632 Len=0","443","51285"
"125","1.972048","0.006297","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=1 Ack=1772 Win=73728 Len=0","443","51285"
"126","2.023662","0.051614","142.250.75.131","192.168.68.121","TLSv1.3","1454","Server Hello, Change Cipher Spec","443","51285"
"127","2.023662","0.000000","142.250.75.131","192.168.68.121","TCP","1454","443  >  51285 [PSH, ACK] Seq=1401 Ack=1772 Win=73728 Len=1400 [TCP PDU reassembled in 131]","443","51285"
"128","2.023662","0.000000","142.250.75.131","192.168.68.121","TCP","1454","443  >  51285 [ACK] Seq=2801 Ack=1772 Win=73728 Len=1400 [TCP PDU reassembled in 131]","443","51285"
"129","2.023662","0.000000","142.250.75.131","192.168.68.121","TCP","1454","443  >  51285 [PSH, ACK] Seq=4201 Ack=1772 Win=73728 Len=1400 [TCP PDU reassembled in 131]","443","51285"
"130","2.023737","0.000075","192.168.68.121","142.250.75.131","TCP","54","51285  >  443 [ACK] Seq=1772 Ack=5601 Win=131584 Len=0","51285","443"
"131","2.034550","0.010813","142.250.75.131","192.168.68.121","TLSv1.3","213","Encrypted Extensions, Certificate, Certificate Verify, Finished","443","51285"
"132","2.035988","0.001438","192.168.68.121","142.250.75.131","TLSv1.3","128","Change Cipher Spec, Encrypted Extensions, Finished","51285","443"
"133","2.036219","0.000231","192.168.68.121","142.250.75.131","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]","51285","443"
"134","2.036369","0.000150","192.168.68.121","142.250.75.131","HTTP2","425","HEADERS[1]: GET /chrome-variations/seed?osname=win&channel=stable&milestone=133","51285","443"
"135","2.052596","0.016227","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=5760 Ack=1846 Win=73728 Len=0","443","51285"
"136","2.055463","0.002867","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=5760 Ack=1938 Win=73728 Len=0","443","51285"
"137","2.055463","0.000000","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=5760 Ack=2309 Win=77824 Len=0","443","51285"
"138","2.066270","0.010807","142.250.75.131","192.168.68.121","HTTP2","1073","SETTINGS[0]","443","51285"
"139","2.066671","0.000401","192.168.68.121","142.250.75.131","HTTP2","85","SETTINGS[0]","51285","443"
"140","2.084220","0.017549","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=6779 Ack=2340 Win=77824 Len=0","443","51285"
"141","2.137385","0.053165","142.250.75.131","192.168.68.121","HTTP2","557","PING[0]","443","51285"
"142","2.138239","0.000854","192.168.68.121","142.250.75.131","HTTP2","93","PING[0]","51285","443"
"143","2.142841","0.004602","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 1.68.168.192.in-addr.arpa.local, ""QM"" question","5353","5353"
"144","2.143087","0.000246","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 1.68.168.192.in-addr.arpa.local, ""QM"" question","5353","5353"
"145","2.143629","0.000542","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xffc4 PTR 3.61.159.162.in-addr.arpa","63219","53"
"146","2.150742","0.007113","192.168.68.121","142.250.75.131","TCP","54","51285  >  443 [FIN, ACK] Seq=2379 Ack=7282 Win=131584 Len=0","51285","443"
"147","2.150922","0.000180","192.168.68.121","162.159.61.3","TCP","54","51283  >  443 [FIN, ACK] Seq=2437 Ack=5564 Win=131584 Len=0","51283","443"
"148","2.166610","0.015688","142.250.75.131","192.168.68.121","TCP","60","443  >  51285 [ACK] Seq=7282 Ack=2379 Win=77824 Len=0","443","51285"
"149","2.169845","0.003235","192.168.1.1","192.168.68.121","DNS","147","Standard query response 0xffc4 No such name PTR 3.61.159.162.in-addr.arpa SOA cruz.ns.cloudflare.com","53","63219"
"150","2.170285","0.000440","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"151","2.170533","0.000248","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"152","2.175892","0.005359","162.159.61.3","192.168.68.121","TCP","54","443  >  51283 [FIN, ACK] Seq=5564 Ack=2438 Win=81920 Len=0","443","51283"
"153","2.175892","0.000000","142.250.75.131","192.168.68.121","TCP","54","443  >  51285 [FIN, ACK] Seq=7282 Ack=2380 Win=77824 Len=0","443","51285"
"154","2.175942","0.000050","192.168.68.121","162.159.61.3","TCP","54","51283  >  443 [ACK] Seq=2438 Ack=5565 Win=131584 Len=0","51283","443"
"155","2.175980","0.000038","192.168.68.121","142.250.75.131","TCP","54","51285  >  443 [ACK] Seq=2380 Ack=7283 Win=131584 Len=0","51285","443"
"156","2.365755","0.189775","192.168.68.121","162.159.61.3","QUIC","1292","Initial, DCID=0a15e7ff9364b216, PKN: 6, PING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, CRYPTO","54944","443"
"157","2.489667","0.123912","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"158","2.489961","0.000294","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"159","2.490321","0.000360","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"160","2.490602","0.000281","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"161","2.491290","0.000688","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xa180 PTR 3.61.159.162.in-addr.arpa","60042","53"
"162","2.527971","0.036681","192.168.1.1","192.168.68.121","DNS","147","Standard query response 0xa180 No such name PTR 3.61.159.162.in-addr.arpa SOA cruz.ns.cloudflare.com","53","60042"
"163","2.528544","0.000573","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"164","2.528834","0.000290","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"165","2.615565","0.086731","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"166","2.615885","0.000320","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"167","3.000990","0.385105","192.168.68.100","255.255.255.255","UDP","207","20000  >  10002 Len=165","20000","10002"
"168","3.140400","0.139410","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xe375 A chrome.cloudflare-dns.com","56580","53"
"169","3.141131","0.000731","192.168.68.121","192.168.1.1","DNS","85","Standard query 0xf382 HTTPS chrome.cloudflare-dns.com","60453","53"
"170","3.164440","0.023309","192.168.68.121","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"171","3.165016","0.000576","fe80::dc4b:6313:da4f:dd3","ff02::fb","MDNS","111","Standard query 0x0000 PTR 3.61.159.162.in-addr.arpa.local, ""QM"" question","5353","5353"
"172","3.260933","0.095917","192.168.1.1","192.168.68.121","DNS","117","Standard query response 0xe375 A chrome.cloudflare-dns.com A 162.159.61.3 A 172.64.41.3","53","56580"
"173","3.260933","0.000000","192.168.1.1","192.168.68.121","DNS","158","Standard query response 0xf382 HTTPS chrome.cloudflare-dns.com HTTPS","53","60453"
